UserId,AttractionId,Rating
14,640,4.0
14,748,5.0
16,481,5.0
16,640,4.25
16,748,5.0
16,824,5.0
16,841,5.0
20,841,4.0
23,748,5.0
25,888,5.0
26,748,5.0
27,640,4.0
28,749,5.0
29,640,5.0
32,640,4.0
33,640,4.0
34,640,4.0
37,749,4.0
39,650,4.0
42,841,4.0
48,749,3.0
51,640,5.0
52,640,3.0
54,737,3.0
56,640,1.0
57,748,3.0
59,369,3.0
59,640,5.0
60,748,5.0
61,640,5.0
61,650,5.0
65,640,5.0
67,748,5.0
67,749,3.0
70,640,5.0
72,748,5.0
79,749,3.0
83,481,5.0
85,640,5.0
85,673,5.0
90,369,5.0
90,650,5.0
90,748,5.0
92,640,5.0
92,749,5.0
94,650,5.0
97,640,5.0
98,369,3.0
102,650,3.0
103,369,5.0
103,640,4.0
103,841,5.0
112,650,5.0
113,640,4.0
116,748,2.0
117,640,4.0
118,640,5.0
119,841,5.0
122,640,5.0
125,650,4.0
125,748,4.0
129,640,4.0
129,748,5.0
131,749,4.0
133,748,5.0
137,640,5.0
137,1297,3.0
139,650,5.0
142,737,4.0
147,640,3.0
147,737,4.0
147,824,4.0
149,369,3.0
152,841,5.0
153,640,3.0
154,841,5.0
155,369,2.0
156,748,4.0
157,481,5.0
158,841,5.0
160,748,3.0
162,841,5.0
166,673,3.0
170,824,2.0
176,481,4.0
177,737,5.0
180,748,5.0
182,737,4.0
183,481,5.0
183,640,4.0
183,748,5.0
184,640,5.0
185,947,1.0
187,737,4.0
189,640,3.0
190,640,5.0
191,841,5.0
192,640,4.0
192,749,3.0
194,650,4.0
194,824,5.0
194,841,3.6666666666666665
196,737,3.0
196,824,3.0
199,640,4.0
200,824,5.0
208,841,5.0
213,748,5.0
218,640,5.0
228,737,5.0
228,748,4.0
228,749,4.0
230,650,4.0
230,673,3.0
230,841,5.0
231,640,5.0
231,748,5.0
234,650,5.0
239,640,5.0
240,748,4.0
240,841,5.0
242,650,4.0
247,369,3.0
247,748,1.0
249,737,5.0
249,748,4.0
249,749,3.0
255,841,4.0
256,841,5.0
266,369,2.0
266,640,4.0
266,748,4.5
266,749,4.0
266,841,4.0
267,748,5.0
268,841,4.0
269,640,4.0
269,841,5.0
271,640,3.0
272,640,5.0
274,640,5.0
274,748,5.0
276,737,5.0
276,824,5.0
277,748,5.0
279,841,5.0
286,737,4.0
286,1297,4.0
288,640,4.0
296,640,4.0
302,369,3.0
303,673,4.0
315,640,4.0
316,650,1.0
317,481,4.0
317,640,4.0
319,640,5.0
320,640,4.0
320,650,5.0
327,640,3.0
328,640,5.0
336,673,3.0
337,841,5.0
339,369,3.0
339,640,4.0
339,673,5.0
339,749,3.0
340,640,4.0
341,481,4.0
341,737,5.0
346,673,5.0
348,841,5.0
349,640,5.0
351,640,4.0
356,841,5.0
359,841,5.0
361,640,5.0
361,749,5.0
365,748,2.0
369,673,4.0
378,673,4.0
378,841,5.0
382,640,4.0
382,650,5.0
382,737,4.0
382,824,5.0
386,640,4.0
386,650,5.0
386,748,3.0
388,481,5.0
390,748,5.0
393,737,4.0
396,748,3.0
397,673,4.0
397,749,4.0
399,640,4.0
399,650,4.0
399,748,5.0
399,749,3.0
404,640,4.0
404,841,5.0
408,369,5.0
408,640,5.0
408,650,5.0
408,748,5.0
408,749,4.0
410,640,5.0
418,824,4.0
419,369,5.0
419,841,5.0
421,640,5.0
422,650,5.0
425,640,3.0
425,748,1.0
426,650,2.0
430,640,4.0
430,737,5.0
430,748,5.0
430,749,5.0
432,748,5.0
432,749,4.0
433,737,4.0
435,748,4.0
442,737,4.0
444,640,5.0
444,748,5.0
445,841,4.0
446,737,5.0
446,824,5.0
447,737,4.0
455,640,4.0
456,650,5.0
459,481,4.0
459,640,5.0
459,650,4.0
462,841,4.5
464,640,5.0
470,841,5.0
476,749,2.0
478,640,5.0
480,640,2.5
480,737,4.0
480,748,3.0
480,824,4.0
484,841,5.0
485,841,5.0
488,640,5.0
490,888,5.0
494,749,5.0
501,369,5.0
501,841,5.0
503,841,4.0
511,481,5.0
512,640,2.0
515,640,5.0
516,824,5.0
517,888,5.0
518,369,4.0
521,673,2.0
525,640,5.0
527,481,3.0
527,673,4.0
528,640,4.0
528,841,5.0
542,1280,3.0
545,841,5.0
550,640,4.0
554,640,4.0
554,824,5.0
565,824,4.0
568,640,3.5
568,650,5.0
568,673,3.0
568,749,3.0
568,824,5.0
568,841,4.0
571,748,5.0
572,640,4.0
574,369,4.0
577,640,3.0
577,748,4.0
580,640,5.0
581,841,5.0
583,640,5.0
583,748,4.0
